Username,City,Department,DisplayName,GivenName,Surname,EmailAddress,UserPrincipalName
tbueller,Denver,IT,Thad,Thad,Bueller,ThadBueller@healthcare1.com,ThadBueller@healthcare1.com
msunshine,Denver,IT,Melissa,Melissa,Sunshine,MelissaSunshine@healthcare1.com,MelissaSunshine@healthcare1.com
ePerna,Denver,IT,Elisha,Elisha,Perna,ElishaPerna@healthcare1.com,ElishaPerna@healthcare1.com
cKeleher,Denver,IT,Cori,Cori,Keleher,CoriKeleher@healthcare1.com,CoriKeleher@healthcare1.com
dMabee,Denver,IT,Dawn,Dawn,Mabee,DawnMabee@healthcare1.com,DawnMabee@healthcare1.com
sLaguardia,Denver,IT,Shanta,Shanta,Laguardia,ShantaLaguardia@healthcare1.com,ShantaLaguardia@healthcare1.com
aTubman,Denver,IT,Adelina,Adelina,Tubman,AdelinaTubman@healthcare1.com,AdelinaTubman@healthcare1.com
cClapper,Denver,IT,Catherine,Catherine,Clapper,CatherineClapper@healthcare1.com,CatherineClapper@healthcare1.com
aLudden,Denver,IT,Arnette,Arnette,Ludden,ArnetteLudden@healthcare1.com,ArnetteLudden@healthcare1.com
mSpagnoli,Denver,IT,Majorie,Majorie,Spagnoli,MajorieSpagnoli@healthcare1.com,MajorieSpagnoli@healthcare1.com
jAdmire,Denver,IT,Jacque,Jacque,Admire,JacqueAdmire@healthcare1.com,JacqueAdmire@healthcare1.com
cWade,Denver,IT,Columbus,Columbus,Wade,ColumbusWade@healthcare1.com,ColumbusWade@healthcare1.com
cSchaal,Denver,IT,Caren,Caren,Schaal,CarenSchaal@healthcare1.com,CarenSchaal@healthcare1.com
aLothrop,Denver,IT,Aretha,Aretha,Lothrop,ArethaLothrop@healthcare1.com,ArethaLothrop@healthcare1.com
aAbe,Denver,IT,Akiko,Akiko,Abe,AkikoAbe@healthcare1.com,AkikoAbe@healthcare1.com
aBoese,Denver,IT,Arlyne,Arlyne,Boese,ArlyneBoese@healthcare1.com,ArlyneBoese@healthcare1.com
lSierra,Denver,IT,Letisha,Letisha,Sierra,LetishaSierra@healthcare1.com,LetishaSierra@healthcare1.com
tStanko,Denver,HR,Tania,Tania,Stanko,TaniaStanko@healthcare1.com,TaniaStanko@healthcare1.com
bKittel,Denver,HR,Bessie,Bessie,Kittel,BessieKittel@healthcare1.com,BessieKittel@healthcare1.com
cCain,Denver,HR,Cory,Cory,Cain,CoryCain@healthcare1.com,CoryCain@healthcare1.com
bDetty,Denver,HR,Brianne,Brianne,Detty,BrianneDetty@healthcare1.com,BrianneDetty@healthcare1.com
fSangster,Denver,HR,Faviola,Faviola,Sangster,FaviolaSangster@healthcare1.com,FaviolaSangster@healthcare1.com
jCaba,Denver,HR,Jacalyn,Jacalyn,Caba,JacalynCaba@healthcare1.com,JacalynCaba@healthcare1.com
mFairley,Denver,HR,Melany,Melany,Fairley,MelanyFairley@healthcare1.com,MelanyFairley@healthcare1.com
gKuehl,Denver,HR,Gustavo,Gustavo,Kuehl,GustavoKuehl@healthcare1.com,GustavoKuehl@healthcare1.com
tMertens,Denver,HR,Tamara,Tamara,Mertens,TamaraMertens@healthcare1.com,TamaraMertens@healthcare1.com
bBurwell,Denver,HR,Bud,Bud,Burwell,BudBurwell@healthcare1.com,BudBurwell@healthcare1.com
sLamkin,Denver,HR,Shoshana,Shoshana,Lamkin,ShoshanaLamkin@healthcare1.com,ShoshanaLamkin@healthcare1.com
cGary,Denver,HR,Cesar,Cesar,Gary,CesarGary@healthcare1.com,CesarGary@healthcare1.com
jMister,Denver,HR,Jesus,Jesus,Mister,JesusMister@healthcare1.com,JesusMister@healthcare1.com
